country_code,country_name,indicator,year,value
AGO,アンゴラ,AG.LND.PRCP.MM,2000,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2001,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2002,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2003,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2004,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2005,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2006,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2007,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2008,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2009,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2010,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2011,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2012,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2013,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2014,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2015,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2016,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2017,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2018,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2019,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2020,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2021,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2022,1010
AGO,アンゴラ,AG.LND.PRCP.MM,2023,
AGO,アンゴラ,AG.LND.PRCP.MM,2024,
BDI,ブルンジ,AG.LND.PRCP.MM,2000,1218
BDI,ブルンジ,AG.LND.PRCP.MM,2001,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2002,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2003,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2004,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2005,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2006,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2007,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2008,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2009,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2010,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2011,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2012,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2013,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2014,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2015,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2016,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2017,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2018,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2019,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2020,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2021,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2022,1274
BDI,ブルンジ,AG.LND.PRCP.MM,2023,
BDI,ブルンジ,AG.LND.PRCP.MM,2024,
BEN,ベナン,AG.LND.PRCP.MM,2000,1039
BEN,ベナン,AG.LND.PRCP.MM,2001,1039
BEN,ベナン,AG.LND.PRCP.MM,2002,1039
BEN,ベナン,AG.LND.PRCP.MM,2003,1039
BEN,ベナン,AG.LND.PRCP.MM,2004,1039
BEN,ベナン,AG.LND.PRCP.MM,2005,1039
BEN,ベナン,AG.LND.PRCP.MM,2006,1039
BEN,ベナン,AG.LND.PRCP.MM,2007,1039
BEN,ベナン,AG.LND.PRCP.MM,2008,1039
BEN,ベナン,AG.LND.PRCP.MM,2009,1039
BEN,ベナン,AG.LND.PRCP.MM,2010,1039
BEN,ベナン,AG.LND.PRCP.MM,2011,1039
BEN,ベナン,AG.LND.PRCP.MM,2012,1039
BEN,ベナン,AG.LND.PRCP.MM,2013,1039
BEN,ベナン,AG.LND.PRCP.MM,2014,1039
BEN,ベナン,AG.LND.PRCP.MM,2015,1039
BEN,ベナン,AG.LND.PRCP.MM,2016,1039
BEN,ベナン,AG.LND.PRCP.MM,2017,1039
BEN,ベナン,AG.LND.PRCP.MM,2018,1039
BEN,ベナン,AG.LND.PRCP.MM,2019,1039
BEN,ベナン,AG.LND.PRCP.MM,2020,1039
BEN,ベナン,AG.LND.PRCP.MM,2021,1039
BEN,ベナン,AG.LND.PRCP.MM,2022,1039
BEN,ベナン,AG.LND.PRCP.MM,2023,
BEN,ベナン,AG.LND.PRCP.MM,2024,
BFA,ブルキナファソ,AG.LND.PRCP.MM,2000,748
BFA,ブルキナファソ,AG.LND.PRCP.MM,2001,748
BFA,ブルキナファソ,AG.LND.PRCP.MM,2002,748
BFA,ブルキナファソ,AG.LND.PRCP.MM,2003,748
BFA,ブルキナファソ,AG.LND.PRCP.MM,2004,748
BFA,ブルキナファソ,AG.LND.PRCP.MM,2005,748
BFA,ブルキナファソ,AG.LND.PRCP.MM,2006,748
BFA,ブルキナファソ,AG.LND.PRCP.MM,2007,748
BFA,ブルキナファソ,AG.LND.PRCP.MM,2008,748
BFA,ブルキナファソ,AG.LND.PRCP.MM,2009,748
BFA,ブルキナファソ,AG.LND.PRCP.MM,2010,748
